Country/Area;Before 2016;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025 (expected);2026 (expected);2027 (expected);2028 (expected);2029 (expected)
Algeria;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Algeria;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Angola;24;0;0;1;0;1;0;3;0;1;2;0;0;0;0
Angola-Republic of the Congo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Australia;11;0;0;1;2;2;2;2;0;0;10;0;0;0;0
Azerbaijan;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Brazil;1;0;1;0;0;0;3;0;3;0;3;1;0;0;0
Brunei;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0
Cameroon;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Canada;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0
China;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Cyprus;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Côte d'Ivoire;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Denmark;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
Egypt;0;2;0;1;0;0;4;1;1;0;0;0;0;0;0
Ghana;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Guyana;0;0;1;0;1;1;0;1;2;3;1;0;0;0;0
Hungary;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
India;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0
Indonesia;8;0;0;2;0;0;1;0;1;0;6;0;1;0;0
Iran;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Iraq;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Ireland;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Israel;1;0;3;0;0;0;1;0;0;3;0;0;0;0;0
Italy;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
Kazakhstan;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Kenya;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Kuwait-Saudi Arabia-Iran;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Libya;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Malaysia;6;0;1;4;0;1;2;5;0;0;3;0;0;0;0
Mauritania;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Mexico;0;0;0;3;12;0;0;1;2;0;1;0;0;0;0
Morocco;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Mozambique;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0
Myanmar;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Namibia;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
Netherlands;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Nigeria;0;0;0;0;1;0;0;0;0;1;0;1;2;1;0
Norway;2;0;1;0;0;1;0;8;7;1;0;1;0;0;0
Oman;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
Papua New Guinea;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Philippines;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qatar;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Romania;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Russia;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
Saudi Arabia;1;0;1;1;1;1;0;2;0;0;0;0;0;0;0
Senegal;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Suriname;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
Tanzania;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1
Trinidad and Tobago;7;0;1;2;1;2;0;1;0;1;0;0;0;0;0
Türkiye;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Uganda;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
United Arab Emirates;3;0;0;0;1;0;2;0;2;0;0;0;0;0;0
United Kingdom;210;1;0;4;1;0;1;2;2;1;5;0;0;0;0
United States;2;0;0;1;4;1;3;4;3;3;4;0;0;0;0
Vietnam;0;0;0;0;0;0;0;0;1;4;4;0;0;0;0
