Sub-region;Offshore;Onshore
Northern Africa;59;128
Sub-Saharan Africa;236;133
Latin America and the Caribbean;290;838
Northern America;256;2676
Central Asia;15;59
Eastern Asia;56;99
South-eastern Asia;171;38
Southern Asia;52;118
Western Asia;113;198
Northern Europe;458;30
Eastern Europe;49;327
Southern Europe;20;17
Western Europe;117;93
Australia and New Zealand;68;51
Melanesia;0;3
Africa Subtotal;59;128
Americas Subtotal;526;971
Asia Subtotal;550;2990
Europe Subtotal;640;572
Oceania Subtotal;185;144
